발생년,발생년월일시,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_2당_대분류,발생위치X_UTMK,발생위치Y_UTMK,경도,위도,,
2012,2012022012,주간,월,1,1,0,0,0,충남,논산시,차대차,측면충돌,측면충돌,교차로 통행방법 위반,교차로,교차로내,이륜차,승용차,964448,1800089,127.1045508,36.19729365,,
2012,2012062914,주간,금,1,1,0,0,0,충남,청양군,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로,승합차,자전거,953614,1822885,126.9826915,36.40234365,,
2012,2012042712,주간,금,1,1,0,0,0,충남,부여군,차대사람,기타,기타,보행자 보호의무 위반,단일로,기타단일로,화물차,보행자,946734,1809343,126.9068938,36.27990629,,
2012,2012011223,야간,목,1,2,1,0,0,대전,유성구,차대차,기타,기타,신호위반,교차로,교차로내,승용차,승용차,983691,1821101,127.3181524,36.38724221,,
2012,2012042718,야간,금,1,1,0,0,0,충남,부여군,차대차,측면충돌,측면충돌,과속,교차로,교차로내,화물차,자전거,927533,1811175,126.6929411,36.29516967,,
2012,2012021000,야간,금,1,1,0,0,0,대전,대덕구,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,특수차,993155,1823012,127.4236603,36.40458456,,3758
2012,2012040416,주간,수,1,1,0,0,0,충남,예산군,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,941454,1849626,126.8450584,36.64273781,,
2012,2012030822,야간,목,1,1,0,0,0,충남,당진시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,910121,1894584,126.4892637,37.04551387,,
2012,2012051911,주간,토,1,1,0,0,0,충남,연기군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,원동기장치자전거,980635,1840754,127.2835857,36.56436044,,
2012,2012090717,주간,금,1,3,0,2,0,충남,보령시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,교량위,승용차,없음,918576,1830201,126.591205,36.46595872,,
2012,2012051620,야간,수,1,3,2,0,0,충남,부여군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,934518,1802850,126.7714237,36.22062102,,
2012,2012021222,야간,토,1,5,4,0,0,충남,서산시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로부근,승용차,없음,914668,1867077,126.5434925,36.79800732,,
2012,2012031521,야간,목,1,1,0,0,0,충남,당진시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,934772,1870114,126.7685613,36.82698605,,
2012,2012080508,주간,일,2,3,1,0,0,충남,청양군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,화물차,945320,1826583,126.8899383,36.43524393,,
2012,2012030312,주간,토,1,1,0,0,0,충남,계룡시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,976491,1809861,127.2382113,36.28576057,,
